iter	RMSE
325	2.840800803
326	2.838996068
327	2.838840842
328	2.837237024
329	2.836983272
330	2.836493658
331	2.834880054
332	2.832762831
333	2.830695799
334	2.826784455
335	2.825131507
336	2.823644498
337	2.820227952
338	2.818247833
339	2.816665525
340	2.815725502
341	2.812931988
342	2.810317816
343	2.808407293
344	2.806353807
345	2.804595658
346	2.800937279
347	2.798474082
348	2.796756481
349	2.795128485
350	2.795057218
351	2.794043983
352	2.792397275
353	2.79059496
354	2.787067463
355	2.786423562
356	2.785952795
357	2.784731245
358	2.784421972
359	2.781347564
360	2.781221708
361	2.780315549
362	2.780159544
363	2.77851912
364	2.77640642
365	2.774446942
366	2.77298612
367	2.768813774
368	2.766075661
369	2.76512522
370	2.762350901
371	2.761956656
372	2.758773861
373	2.758542764
374	2.755066519
375	2.753360567
376	2.751430895
377	2.749030214
378	2.747994388
379	2.743663967
380	2.74112781
381	2.739355382
382	2.736483627
383	2.733168318
384	2.729677448
385	2.728425059
386	2.726440267
387	2.72537887
388	2.722675756
389	2.721558275
390	2.718160077
391	2.714600921
392	2.714125961
393	2.713078631
394	2.710565523
395	2.707402779
396	2.705349549
397	2.700973856
398	2.698956596
399	2.698350571
400	2.697992101
401	2.694781419
402	2.693322805
403	2.691912206
404	2.691812808
405	2.688484088
406	2.68486877
407	2.681906015
408	2.67967773
409	2.679143416
410	2.67877139
411	2.676782474
412	2.675515889
413	2.672643634
414	2.670816433
415	2.668028017
416	2.665339675
417	2.663746421
418	2.661329702
419	2.655586522
420	2.652906473
421	2.651641624
422	2.651514397
423	2.647061861
424	2.64554497
425	2.643015898
426	2.638268986
427	2.63577481
428	2.634972574
429	2.633392374
430	2.632253817
431	2.63072769
432	2.627590296
433	2.624220596
434	2.621645817
435	2.618223147
436	2.616163266
437	2.615061718
438	2.612715096
439	2.609443809
440	2.608707166
441	2.606736305
442	2.606623295
443	2.604698252
444	2.604243507
445	2.602173672
446	2.598488037
447	2.594607938
448	2.593397686
449	2.591059995
450	2.589699436
451	2.586346433
452	2.583081144
453	2.578988606
454	2.576098416
455	2.575873899
456	2.574119687
457	2.57332913
458	2.57168939
459	2.569801376
460	2.568754669
461	2.56638785
462	2.565281627
463	2.56312025
464	2.561686062
465	2.559284798
466	2.557868142
467	2.557440635
468	2.555548621
469	2.553245326
470	2.550527095
471	2.550088699
472	2.547279947
473	2.547039814
474	2.544448112
475	2.54220712
476	2.540358412
477	2.538259701
478	2.537426101
479	2.534837332
480	2.534491205
481	2.533434259
482	2.531636102
483	2.531471396
484	2.529601832
485	2.526713413
486	2.525584151
487	2.523840308
488	2.521652267
489	2.518331773
490	2.516386017
491	2.516051534
492	2.514173383
493	2.512576793
494	2.512332376
495	2.509677386
496	2.507703946
497	2.505987505
498	2.505580259
499	2.502586079
500	2.499600754
501	2.497799684
502	2.49576162
503	2.494419794
504	2.492976139
505	2.49287086
506	2.491720383
507	2.489645913
508	2.487655659
509	2.486653471
510	2.484692587
511	2.483557226
512	2.482187014
513	2.478822103
514	2.477279659
515	2.475488018
516	2.474216981
517	2.473652629
518	2.470457388
519	2.469939428
520	2.469159114
521	2.469066307
522	2.468969457
523	2.468882972
524	2.468798738
525	2.468557292
526	2.46697379
527	2.466733198
528	2.466330023
529	2.465696027
530	2.464164179
531	2.461148627
532	2.458438226
533	2.458074052
534	2.457113925
535	2.455174358
536	2.455070374
537	2.452795393
538	2.449566712
539	2.449501343
540	2.448797036
541	2.447749058
542	2.447218765
543	2.445017642
544	2.443980637
545	2.442395448
546	2.440952196
547	2.44031993
548	2.439496648
549	2.439272949
550	2.436668423
551	2.434622638
552	2.434037651
553	2.430489333
554	2.427269746
555	2.425194274
556	2.425017989
557	2.42260475
558	2.420661313
559	2.41717153
560	2.416010988
561	2.412559447
562	2.412354323
563	2.412025521
564	2.410291771
565	2.40976432
566	2.409455415
567	2.407015233
568	2.404861696
569	2.403592016
570	2.401474075
571	2.400151657
572	2.398116331
573	2.39724704
574	2.394808971
575	2.393371001
576	2.390963445
577	2.389606456
578	2.387534798
579	2.387269431
580	2.385918504
581	2.384318827
582	2.38372207
583	2.382473188
584	2.380760343
585	2.379625557
586	2.376524776
587	2.375219606
588	2.375156834
589	2.375092825
590	2.374239591
591	2.374058779
592	2.373915241
593	2.373508776
594	2.372467196
595	2.371421313
596	2.369843414
597	2.36882336
598	2.368094941
599	2.367915562
600	2.365619599
601	2.365360345
602	2.365245495
603	2.363783491
604	2.363184971
605	2.362771023
606	2.36197923
607	2.360168101
608	2.359088388
609	2.356770592
610	2.355573523
611	2.352887084
612	2.352542119
613	2.351455614
614	2.35120463
615	2.3483923
616	2.345445134
617	2.344275615
618	2.343313513
619	2.342957605
620	2.341720948
621	2.340179904
622	2.339982669
623	2.339116725
624	2.337401324
625	2.33699896
626	2.33570931
627	2.334033968
628	2.333239631
629	2.332071017
630	2.331165095
631	2.330521791
632	2.330359124
633	2.328497382
634	2.325724903
635	2.324289236
636	2.323230011
637	2.320448555
638	2.319236933
639	2.31777158
640	2.316235119
641	2.314639961
642	2.313345774
643	2.311554348
644	2.310170529
645	2.308095076
646	2.307849955
647	2.307108297
648	2.306048445
649	2.306005855
650	2.304212807
651	2.302506877
652	2.301039368
653	2.299341197
654	2.298375019
655	2.295837306
656	2.293740046
657	2.291378922
658	2.290015104
659	2.289765167
660	2.288399654
661	2.288262671
662	2.287270689
663	2.285121364
664	2.283558364
665	2.282624682
666	2.281924008
667	2.281000346
668	2.277904662
669	2.276871332
670	2.275500125
671	2.274299015
672	2.272254392
673	2.269858617
674	2.269633425
675	2.268310011
676	2.268141435
677	2.26687026
678	2.266537781
679	2.265043045
680	2.263289558
681	2.262448073
682	2.261518173
683	2.260093724
684	2.259305607
685	2.257491311
686	2.255302481
687	2.253481576
688	2.252567875
689	2.252429588
690	2.251383849
691	2.250167368
692	2.249998359
693	2.247691076
694	2.246490096
695	2.245566103
696	2.244925115
697	2.244832871
698	2.243875442
699	2.241919081
700	2.239971091
701	2.239059345
702	2.238927794
703	2.236773818
704	2.235650515
705	2.233603669
706	2.231688317
707	2.230729517
708	2.229128542
709	2.22852179
710	2.228327318
711	2.228160054
712	2.227284005
713	2.226262133
714	2.224911084
715	2.224158018
716	2.22410934
717	2.223978846
718	2.220939119
719	2.219506279
720	2.217509978
721	2.215934132
722	2.214745188
723	2.213920793
724	2.21373125
725	2.211986009
726	2.210707621
727	2.210179777
728	2.209310842
729	2.207452666
730	2.206945282
731	2.205943748
732	2.205822932
733	2.204311506
734	2.202446265
735	2.201939646
736	2.200482718
737	2.199046761
738	2.197615041
739	2.195713289
740	2.1949057
741	2.193634762
742	2.190604467
743	2.189189552
744	2.187263656
745	2.185539395
746	2.184555286
747	2.183331308
748	2.182552364
749	2.181171409
750	2.180906653
751	2.179535403
752	2.179395657
753	2.178235272
754	2.177722644
755	2.177586532
756	2.177309274
757	2.175298826
758	2.173787692
759	2.171943973
760	2.169994855
761	2.168554339
762	2.166977049
763	2.166866265
764	2.164231766
765	2.163191685
766	2.163060888
767	2.161587189
768	2.16105975
769	2.160112149
770	2.15792576
771	2.157046365
772	2.155875271
773	2.155196526
774	2.154803922
775	2.153521446
776	2.152656432
777	2.152540431
778	2.150522511
779	2.148384315
780	2.146515477
781	2.145909118
782	2.144566899
783	2.143267675
784	2.141063609
785	2.140474868
786	2.138713178
787	2.137719734
788	2.136938589
789	2.135481933
790	2.132060289
791	2.130863225
792	2.129418622
793	2.127205422
794	2.124953198
795	2.122906707
796	2.121185571
797	2.120932489
798	2.120051819
799	2.11889597
800	2.117516639
801	2.116156111
802	2.114756059
803	2.114641464
804	2.112544091
805	2.111495147
806	2.110225753
807	2.109492923
808	2.107658819
809	2.106751187
810	2.103114973
811	2.103043534
812	2.102224629
813	2.100757764
814	2.100026023
815	2.09916996
816	2.096753962
817	2.095201572
818	2.094904527
819	2.093659562
820	2.092068269
821	2.090468458
822	2.089603229
823	2.087712466
824	2.086023818
825	2.084783402
826	2.081980893
827	2.080336433
828	2.079393637
829	2.077814658
830	2.076067996
831	2.07490983
832	2.073084159
833	2.071686314
834	2.070893008
835	2.069939437
836	2.068953715
837	2.067022952
838	2.065802888
839	2.06392241
840	2.06385712
841	2.061540211
842	2.059912216
843	2.059822381
844	2.058597447
845	2.056829038
846	2.053980564
847	2.05244891
848	2.050111136
849	2.04863273
850	2.046857234
851	2.045921669
852	2.043428946
853	2.042625759
854	2.041660874
855	2.040552921
856	2.040452372
857	2.038453848
858	2.036876566
859	2.036329514
860	2.034141992
861	2.032457093
862	2.031124357
863	2.030666875
864	2.028702869
865	2.02842222
866	2.027448582
867	2.025911456
868	2.025129238
869	2.024218076
870	2.024048122
871	2.022366807
872	2.020530097
873	2.019591035
874	2.017723634
875	2.015449664
876	2.014532471
877	2.013994269
878	2.012661012
879	2.012486062
880	2.011965573
881	2.01125637
882	2.009389173
883	2.008376362
884	2.006849546
885	2.005499041
886	2.004018825
887	2.00166235
888	1.999441008
889	1.997899778
890	1.997800795
891	1.997707264
892	1.996377035
893	1.994692317
894	1.993298349
895	1.993159464
896	1.992610359
897	1.991120389
898	1.989929905
899	1.988937019
900	1.987587899
901	1.986081216
902	1.984167675
903	1.982358243
904	1.981669194
905	1.979546598
906	1.978709385
907	1.977470975
908	1.976152176
909	1.97503287
910	1.973723774
911	1.972824006
912	1.971123198
913	1.969256397
914	1.96713183
915	1.965750572
916	1.965535137
917	1.964131535
918	1.963097172
919	1.96293751
920	1.962280217
921	1.961266913
922	1.959312937
923	1.957031565
924	1.955640877
925	1.953234905
926	1.952717577
927	1.950690016
928	1.950651987
929	1.948223216
930	1.948147394
931	1.947657396
932	1.946761391
933	1.945270647
934	1.943572611
935	1.942837459
936	1.942263671
937	1.940249397
938	1.93854515
939	1.936477076
940	1.935678288
941	1.935201328
942	1.932808558
943	1.931950639
944	1.930429548
945	1.930319245
946	1.928580185
947	1.927751981
948	1.92772857
949	1.926594989
950	1.926412135
951	1.926349441
952	1.924767778
953	1.92433474
954	1.922758406
955	1.921405432
956	1.920594416
957	1.920057368
958	1.919612952
959	1.917912534
960	1.916791849
961	1.91518965
962	1.914085318
963	1.912973745
964	1.912160673
965	1.910939491
966	1.909118489
967	1.907233183
968	1.90552351
969	1.904483872
970	1.904140701
971	1.902384224
972	1.900776092
973	1.899468879
974	1.898959329
975	1.897465366
976	1.895829222
977	1.894041791
978	1.892962423
979	1.891998936
980	1.889976637
981	1.889874344
982	1.889071704
983	1.888278357
984	1.887414623
985	1.886079066
986	1.884522419
987	1.883355528
988	1.882683766
989	1.880292418
990	1.87846634
991	1.877386282
992	1.876097999
993	1.874998617
994	1.874890635
995	1.874259217
996	1.873350606
997	1.872379861
998	1.871223677
999	1.870654618
